"name","wikipedia_id"
"Chili","Chili_con_carne"
"Taco","Taco"
"Tortilla","Tortilla"
"Nachos","Nachos"
"Processed cheese","Processed_cheese"
"Salad","Salad"
"Cream substitute",""
"Dulce de leche","Dulce_de_leche"
"Topping",""
"Sweet custard","Custard"
"Egg roll","Egg_roll"
"Heart of palm","Heart_of_palm"
"Popcorn","Popcorn"
"Potato chip","Potato_chip"
"Tortilla chip","Tortilla_chip"
"Corn chip","Corn_chip"
"Hibiscus tea","Hibiscus_tea"
"Stew","Stew"
"Gelatin dessert","Gelatin_dessert"
"Junket","Junket_(dessert)"
"Falafel","Falafel"
"Frybread","Frybread"
"Other frozen dessert","Frozen_dessert"
"Lasagna","Lasagna"
"Morchella (Morel)","Morchellaceae"
"Pancake","Pancake"
"Pectin","Pectin"
"Pudding","Pudding"
"Waffle","Waffle"
"Soy milk","Soy_milk"
"Meatloaf","Meatloaf"
"Sake","Sake"
"Cocktail","List_of_cocktails"
"Couscous","Couscous"
"Bulgur","Bulgur"
"Coffee substitute","Coffee_substitute"
"Coffee mocha","Cafe_mocha"
"Chimichanga","Chimichanga"
"Semolina","Semolina"
"Tapioca pearl","Tapioca"
"Tostada","Tostada"
"Quesadilla","Quesadilla"
"Baked potato","Baked_potato"
"Hot dog","Hot_dog"
"Spread","Spread_(food)"
"Enchilada","Enchilada"
"Egg substitute","Egg_substitute#Cooking_substitutes"
"Nutritional drink","Energy drink"
"Other sandwich","Sandwich"
"Ketchup","Ketchup"
"Breakfast sandwich","Breakfast_sandwich"
"Adobo","Adobo"
"Macaroni and cheese","Macaroni_and_cheese"
"Butterfat","Butterfat"
"Horned melon","Horned_melon"
"Hushpuppy","Hushpuppy"
"Fruit juice","Juice"
"Relish","Relish"
"Other fruit product",""
"Fruit salad","Fruit_salad"
"Soy yogurt","Soy_yogurt"
"Vegetarian food","Vegetarian cuisine"
"Veggie burger","Veggie_burger"
"Cold cut","Cold_cut"
"Mixed nuts","Mixed_nuts"
"Canola","Canola"
"Babassu palm","Attalea_speciosa"
"Cupuaí_u","Cupuaí_u"
"Shea tree","Shea_tree"
"Oil-seed Camellia","Camellia_oleifera"
"Ucuhuba","Virola_surinamensis"
"Phyllo dough","Phyllo"
"Cooking oil","Cooking_oil"
"Pie crust","Pie_crust"
"Pie filling",""
"Pie","Pie"
"Shortening","Shortening"
"Soy cream",""
"Ice cream cone","Ice_cream_cone"
"Molasses","Molasses"
"Cracker","Cracker_(food)"
"Nance","Byrsonima_crassifolia"
"Naranjilla","Solanum_quitoense"
"Natto","Natto"
"Ravioli","Ravioli"
"Scrapple","Scrapple"
"Other pasta dish",""
"Succotash","Succotash"
"Tamale","Tamale"
"Rice cake","Rice_cake"
"Tree fern","Cyatheales"
"Evaporated milk","Evaporated_milk"
"Flour","Flour"
"Akutaq","Akutaq"
"Dough","Dough"
"Pita bread","Pita_bread"
"Focaccia","Focaccia"
"Bagel","Bagel"
"Other bread product",""
"Piki bread","Piki"
"French toast","French_toast"
"Wheat bread","Wheat_bread"
"Rye bread","Rye_bread"
"Oat bread",""
"Potato bread","Potato_bread"
"Cornbread","Cornbread"
"Corn grits","Grits"
"Multigrain bread",""
"Rice bread","Rice_bread"
"Pan dulce","Gibraltarian_cuisine#Pan_dulce"
"Raisin bread","Raisin_bread"
"Wonton wrapper",""
"Trail mix","Trail_mix"
"Greenthread tea","Thelesperma"
"Fruit-flavor drink",""
"Vegetable juice","Vegetable juice"
"Horchata","Horchata"
"Soft drink","Soft_drink"
"Frozen yogurt","Frozen_yogurt"
"Milkshake","Milkshake"
"Chocolate mousse","Mousse"
"Dripping","Dripping"
"Pupusa","Pupusa"
"Empanada","Empanada"
"Arepa","Arepa"
"Ascidians","Ascidiacea"
"Gefilte fish","Gefilte_fish"
"Yellow pond-lily","Nuphar_lutea"
"Fish burger","Filet-O-Fish"
"Other dish",""
"Pot pie","Pot_pie"
"Stuffing","Stuffing"
"Edible shell",""
"Fudge","Fudge"
"Candy bar","Chocolate_bar"
"Condensed milk","Condensed_milk"
"Margarine","Margarine"
"Margarine-like spread",""
"Hummus","Hummus"
"Potato puffs",""
"Potato gratin","Gratin"
